iter	RMSE
0	0.1609671485
1	0.1471782797
2	0.1343941321
3	0.1230250921
4	0.1127612229
5	0.1035231706
6	0.09525170839
7	0.08792682352
8	0.08129890085
9	0.07536955686
10	0.07015869003
11	0.06550918613
12	0.06148791461
13	0.05787543466
14	0.05464779246
15	0.05185838858
16	0.04937388215
17	0.04730823288
18	0.04539483053
19	0.04375422863
20	0.04219297229
21	0.04091576336
22	0.03980439363
23	0.03870454454
24	0.03778592283
25	0.03689262765
26	0.0360876671
27	0.03543291537
28	0.03483714085
29	0.03432928134
30	0.03384780756
31	0.03339504836
32	0.03303625837
33	0.03262046637
34	0.03230705736
35	0.03199983838
36	0.03166663866
37	0.03142139006
38	0.03123210847
39	0.0309326706
40	0.03071478736
41	0.03050920849
42	0.03029347187
43	0.03004022371
44	0.02985612326
45	0.02969610162
46	0.02957006312
47	0.02939405152
48	0.02922589389
49	0.02912624599
50	0.02902444989
51	0.02887798343
52	0.02876989128
53	0.02864744214
54	0.02857536657
55	0.02848929726
56	0.02837561773
57	0.02832197243
58	0.02820011167
59	0.02808224161
60	0.02801639227
61	0.02796204738
62	0.02779645788
63	0.02774631639
64	0.02767138187
65	0.02757083527
66	0.02749711193
67	0.02743066564
68	0.02734900923
69	0.02728158203
70	0.0272579483
71	0.0272136573
72	0.02715880586
73	0.02703272456
74	0.0269909548
75	0.02690774248
76	0.02683344355
77	0.02676946889
78	0.02673346565
79	0.02668600893
80	0.02663761826
81	0.02658069623
82	0.02653949245
83	0.02650598356
84	0.02648498848
85	0.02642285072
86	0.02638891218
87	0.02633564961
88	0.02628930716
89	0.02625451958
90	0.02621009251
91	0.02615179928
92	0.02612511634
93	0.02605319205
94	0.02596907264
95	0.0259244514
96	0.02586088704
97	0.02581438329
98	0.02579417755
99	0.02575343783
